,block,street_name_original,address_original,street_name,full_address,processed_address,longitude,latitude,nearst_mrt,distance_nearst_mrt,nearst_mall,distance_nearst_mall,dist_to_CBD
3962,886,TAMPINES ST 83,886 TAMPINES ST 83,TAMPINES ST 83        ,886 TAMPINES ST 83       Singapore,886 TAMPINES ST 83      ,103.9321182,1.3510301000000002,Tampines West mrt station,1.011231238,Our Tampines Hub,0.94663648,11.339219046378494
3963,109,SIMEI ST 1,109 SIMEI ST 1,SIMEI ST 1        ,109 SIMEI ST 1       Singapore,109 SIMEI ST 1      ,103.9501796,1.3422697000000001,Simei mrt station,0.407391154,Eastpoint Mall,0.322273579,12.489428583512408
3964,110,SIMEI ST 1,110 SIMEI ST 1,SIMEI ST 1        ,110 SIMEI ST 1       Singapore,110 SIMEI ST 1      ,103.950225,1.3427451000000001,Simei mrt station,0.40021741899999996,Eastpoint Mall,0.31346409199999997,12.519212979620683
3965,871,TAMPINES ST 84,871 TAMPINES ST 84,TAMPINES ST 84        ,871 TAMPINES ST 84       Singapore,871 TAMPINES ST 84      ,103.9325714,1.3544681,Tampines West mrt station,1.264573643,Our Tampines Hub,0.88605809,11.615923353776925
3966,229,SIMEI ST 4,229 SIMEI ST 4,SIMEI ST 4        ,229 SIMEI ST 4       Singapore,229 SIMEI ST 4      ,103.95602690000001,1.3431138999999999,Simei mrt station,0.250762557,Eastpoint Mall,0.33516492800000003,13.10691718359844
3967,19,JOO SENG RD,19 JOO SENG RD,JOO SENG ROAD        ,19 JOO SENG ROAD       Singapore,19 JOO SENG ROAD      ,103.8807412,1.3345129999999998,Tai Seng mrt station,0.782459479,The Poiz,1.491686515,6.073814092378603
3968,830,YISHUN ST 81,830 YISHUN ST 81,YISHUN ST 81        ,830 YISHUN ST 81       Singapore,830 YISHUN ST 81      ,103.8339891,1.4141181999999999,Khatib mrt station,0.363031603,Wisteria Mall,0.9730354640000001,14.090564297380617
3969,861,YISHUN AVE 4,861 YISHUN AVE 4,YISHUN AVE 4        ,861 YISHUN AVE 4       Singapore,861 YISHUN AVE 4      ,103.83969559999998,1.4173841,Khatib mrt station,0.77992663,Wisteria Mall,0.242502032,14.374919940564759
3970,427,YISHUN AVE 11,427 YISHUN AVE 11,YISHUN AVE 11        ,427 YISHUN AVE 11       Singapore,427 YISHUN AVE 11      ,103.8484389,1.421941,Yishun mrt station,1.728422324,Wisteria Mall,0.853332368,14.820385575951253
3971,408,YISHUN AVE 6,408 YISHUN AVE 6,YISHUN AVE 6        ,408 YISHUN AVE 6       Singapore,408 YISHUN AVE 6      ,103.8484821,1.4262799,Yishun mrt station,1.562267934,Junction 9,1.064445749,15.29989641047612
3972,873,YISHUN ST 81,873 YISHUN ST 81,YISHUN ST 81        ,873 YISHUN ST 81       Singapore,873 YISHUN ST 81      ,103.8370688,1.4149063,Khatib mrt station,0.545667911,Wisteria Mall,0.638455636,14.133047013345971
3973,816,YISHUN ST 81,816 YISHUN ST 81,YISHUN ST 81        ,816 YISHUN ST 81       Singapore,816 YISHUN ST 81      ,103.8332645,1.4117023000000002,Khatib mrt station,0.603602226,Wisteria Mall,1.190289957,13.837909482500013
3974,836,YISHUN ST 81,836 YISHUN ST 81,YISHUN ST 81        ,836 YISHUN ST 81       Singapore,836 YISHUN ST 81      ,103.8330834,1.4153706,Khatib mrt station,0.199425792,Wisteria Mall,1.007245085,14.242066482838496
3975,126,BEDOK RESERVOIR RD,126 BEDOK RESERVOIR RD,BEDOK RESERVOIR ROAD        ,126 BEDOK RESERVOIR ROAD       Singapore,126 BEDOK RESERVOIR ROAD      ,103.91082779999999,1.3327806,Kaki Bukit mrt station,0.32251235300000003,Djitsun Mall Bedok,2.210489407,8.23092952592953
3976,111,LENGKONG TIGA,111 LENGKONG TIGA,LENGKONG TIGA          ,111 LENGKONG TIGA         Singapore,111 LENGKONG TIGA        ,103.91117659999999,1.3241496000000001,Kembangan mrt station,0.406546711,Singapore Post Centre,1.9288646180000002,7.727196309312436
3977,141,BISHAN ST 12,141 BISHAN ST 12,BISHAN ST 12        ,141 BISHAN ST 12       Singapore,141 BISHAN ST 12      ,103.8533738,1.3451189,Bishan mrt station,0.749566664,Junction 8,0.79841363,6.323587167252834
3978,447,BRIGHT HILL DR,447 BRIGHT HILL DR,BRIGHT HILL DR        ,447 BRIGHT HILL DR       Singapore,447 BRIGHT HILL DR      ,103.83174029999999,1.3581816999999998,Upper Thomson mrt station,0.435839421,Thomson Plaza,0.377970524,8.079560856106143
3979,507,BT BATOK ST 52,507 BT BATOK ST 52,BUKIT BATOK ST 52      ,507 BUKIT BATOK ST 52     Singapore,507 BUKIT BATOK ST 52    ,103.7537627,1.3522129999999999,Bukit Batok mrt station,0.535432522,West Mall,0.556608476,13.01885999071215
3980,416,SAUJANA RD,416 SAUJANA RD,SAUJANA ROAD          ,416 SAUJANA ROAD         Singapore,416 SAUJANA ROAD        ,103.7684507,1.3832917,Bukit Panjang mrt station,0.9073343979999999,Fajar Shopping Centre,0.25390951,14.040810753790916
3981,277,BANGKIT RD,277 BANGKIT RD,BANGKIT ROAD          ,277 BANGKIT ROAD         Singapore,277 BANGKIT ROAD        ,103.7747655,1.3761257,Cashew mrt station,1.354522065,Fajar Shopping Centre,0.981655948,12.981700289517555
3982,203,PETIR RD,203 PETIR RD,PETIR ROAD          ,203 PETIR ROAD         Singapore,203 PETIR ROAD        ,103.7756708,1.3728221,Cashew mrt station,1.305894637,Fajar Shopping Centre,1.3540612769999998,12.641916991990485
