,mrt_station,longitude,latitude
130,Springleaf mrt station,103.8178569,1.397581061
131,Lentor mrt station,103.8357438,1.38550658
132,Mayflower mrt station,103.8365678,1.371463188
133,Bright Hill mrt station,103.8331251,1.363484337
134,Upper Thomson mrt station,103.8328985,1.354416434
135,Mount Pleasant mrt station,103.8346883,1.328517954
136,Napier mrt station,103.818967,1.306783078
137,Orchard Boulevard mrt station,103.8238685,1.302422248
138,Great World mrt station,103.8337208,1.293948162
139,Havelock mrt station,103.8335858,1.28850524
140,Maxwell mrt station,103.8438837,1.280533298
141,Shenton Way mrt station,103.8503676,1.277716828
142,Marina South mrt station,103.8635743,1.274554759
143,Gardens by the Bay mrt station,103.8674547,1.278487259
144,Founders' Memorial mrt station,0,0
145,Tanjong Rhu mrt station,103.8734884,1.297218218
146,Katong Park mrt station,103.8860802,1.297947905
147,Tanjong Katong mrt station,103.8973687,1.299319257
148,Marine Parade mrt station,103.9049619,1.302630145
149,Marine Terrace mrt station,103.9152325,1.306762679
150,Siglap mrt station,103.9300258,1.310008551
151,Bayshore mrt station,103.9409688,1.312591629
152,Bedok South mrt station,103.9490653,1.316888941
153,Choa Chu Kang West mrt station,0,0
154,Tengah mrt station,0,0
155,Hong Kah mrt station,0,0
156,Corporation mrt station,0,0
157,Jurong West mrt station,103.6973215,1.337586882
158,Bahar Junction mrt station,0,0
159,Gek Poh mrt station,0,0
160,Tawas mrt station,0,0
161,Tengah Plantation mrt station,0,0
162,Tengah Park mrt station,0,0
163,Bukit Batok West mrt station,103.7517909,1.358611591
164,Toh Guan mrt station,0,0
165,Jurong Town Hall mrt station,0,0
166,Pandan Reservoir mrt station,0,0
167,Enterprise mrt station,0,0
168,Tukang mrt station,0,0
169,Jurong Hill mrt station,0,0
170,Jurong Pier mrt station,103.7119345,1.309585385
171,Nanyang Gateway mrt station,0,0
172,Nanyang Crescent mrt station,0,0
173,Peng Kang Hill mrt station,0,0
174,Aviation Park mrt station,0,0
175,Loyang mrt station,0,0
176,Pasir Ris East mrt station,0,0
177,Tampines North mrt station,0,0
178,Defu mrt station,0,0
179,Serangoon North mrt station,103.8691035,1.375735612
180,Tavistock mrt station,0,0
181,Teck Ghee mrt station,0,0
